,Date,Volume,Adj Close,Label,DJIA_news_sentiment,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
1988,2008-08-08,212830000,11734.320312,0,-0.22435022785678796,-0.44576292091061126,0.0,-0.2710345968323143,-0.5544684151647467,-0.7126188911993803,0.0,-0.18584633317638652,0.14161362148962148,-0.42910057661481027,-0.37187878325470464,-0.47200205835830833,-0.16654504087941047,-0.5688292196209588,0.0,-0.2747104306873635,0.0,0.0,0.15080586429512516,0.14987034427093304,0.018205625966625966,-0.5699721409592824,-0.38897508646970025,-0.2062667690280734,-0.5378078537959466,0.08656796450999349
1987,2008-08-11,183190000,11782.349609,1,-0.08774299413974675,0.5675947759269716,-0.22844093229285328,0.2808789431844323,-0.1414747676055828,0.0,-0.3221130233881457,-0.31482497196087367,-0.05440529977269107,-0.228103492309083,-0.20485760673346484,0.0,0.5547581465599617,0.0,-0.2351232411477411,-0.05906071212905451,0.0,0.0,-0.5646387136847705,0.0,-0.37378868271531107,-0.5485010509158822,0.0,-0.21132055167563174,-0.11015367283394879,0.0
1986,2008-08-12,173590000,11642.469727,0,-0.16340839154850328,0.018001900210296948,0.0,-0.4922373037305467,-0.42738520673261254,0.0,-0.4428302217739319,-0.44374857986492916,-0.430448159796725,0.2493186236066671,-0.5234347636218346,-0.6080316580783681,-0.31470801475746907,-0.5691054213799185,0.0,0.32613628881533546,0.0,0.0,0.05702881389463999,-0.39012411228515226,-0.38529711217948726,-0.357037998312051,0.3778329477824401,0.2708601894910645,0.0,0.0
1985,2008-08-13,182550000,11532.959961,0,-0.10639725530887993,-0.47330635904973367,-0.5463363011367992,-0.4265395377771119,-0.09071141526213991,-0.30092356314821833,0.0,0.20093132023836827,0.0,0.24537644071146245,0.0,0.28113269408919045,-0.15391250749020746,-0.17597431252322557,-0.20609339332760584,0.0,0.0,0.0,0.0,-0.3422101520086952,-0.016871054999777108,-0.1515591919907366,0.35205301404099015,-0.364472123357319,-0.2946121173346581,-0.19590282239578216
1984,2008-08-14,159790000,11615.929688,1,-0.11363045387908648,0.13365447069137215,-0.4054547747035573,0.45809039183039185,-0.5551281787181552,-0.3734149806815568,-0.47104681089743594,0.49882886680393623,-0.2700642171291714,-0.47270684495329235,-0.222493763504061,0.0,0.0,0.0,0.13370663270453803,0.0,-0.3791151511432408,0.0,-0.4371163939158668,0.0,0.0,-0.2993536557971014,-0.39169796710154836,0.12137380395157854,-0.4179983935870892,0.5091756191730975
1983,2008-08-15,215040000,11659.900391,1,-0.11055326380526997,-0.46812992338565884,0.0,0.31988625313545155,0.31115060243741766,-0.21019301260259782,-0.5259796653452224,0.22592657915333464,-0.3757130759222661,0.07637750405534588,-0.03702571361704657,-0.22610347477187334,0.21589521530522618,-0.24443744177561572,0.0,-0.26992217168250004,-0.24019078374343045,-0.21295187621557185,0.0,-0.4535148301760635,-0.2102501255072794,0.28955290789780824,-0.5122592461555733,-0.21594931621563399,0.0,0.0
1982,2008-08-18,156290000,11479.389648,0,-0.1462336255621856,-0.5474104781098531,0.23255333251021762,-0.25949197582023237,0.0,-0.4821992001834296,0.0,-0.2706871484487734,-0.24283715270554515,-0.6355634569717722,0.0,0.07823014241796851,-0.6065139142080744,0.0,-0.38310093183828564,0.33274697979797985,0.0,0.0,-0.5104172230999677,0.0,0.0,0.0,-0.19679923159347645,-0.03550844571142054,0.20712005653681856,-0.33596199162679424
1981,2008-08-19,171580000,11348.549805,0,-0.20539306319906772,-0.5544583070001796,0.0703939634890347,-0.45873403111833816,-0.41465917383293666,-0.29366120297613707,0.0,-0.5506884274086518,-0.45436301215288927,-0.45695477025130044,0.0,0.0,-0.3388857163401836,-0.20112359653938314,0.14589312491029396,-0.01350900152481341,-0.23748646802472895,0.34186215941124093,0.0,0.0,-0.5645174582738394,-0.4104736141237989,-0.28909803606719364,-0.45436301215288927,0.0,0.0
1980,2008-08-20,144880000,11417.429688,1,-0.1106705842326217,-0.21092831545386984,-0.3746723918110874,-0.5581522438684504,0.0,0.0,0.34598471695213,0.0,-0.07997161629885814,0.0,-0.20800297068511195,0.0,-0.4026257058159233,-0.48875279183919945,-0.6450739353400222,0.19728465700400538,0.0,-0.19561509627164092,0.0,0.0,0.32928468083003953,-0.22740813872118215,-0.193962890576878,-0.2209481116450322,0.1667955477255391,0.0
1979,2008-08-21,130020000,11430.209961,1,-0.14782364962264957,0.2786469692159692,-0.3580278746947497,0.0,-0.39433741694403995,0.43690036141010685,-0.3570896454380374,-0.1778717721418904,-0.29968320326757913,0.1468488197865353,-0.44547411102484474,-0.3750445519220482,0.0,-0.5758073074631848,-0.48209591269841273,0.0,-0.29834272325858846,0.03657280552056639,-0.03692849725873827,0.4220054852792135,0.0,-0.576570472464579,0.3050558755721935,-0.43617691063284547,-0.5081711581412868,0.0
